videoID,posted,duration,views,likes,comments,hashtags,purpose,themes,sentiment,barriers,stakeholders,misinformation,data_supported,seconds
1,2023-06-13,1:27,361800,31100,705,"cultivated meat, 3dbioprinting, cultured meat, ad",Advertising/Informative,"sustainability, animal welfare",Positive,"saving water, energy, reducing greenhouse emissions",Steakholder Foods,FALSE,FALSE,87
2,2023-07-13,0:52,110700,2072,162,"vegan, cultivated meat, labgrownmeat, try, plantbased",Entertainment,"vegan/vegetarian, animal welfare, taste",Positive,taste,Vegans,FALSE,FALSE,52
3,2023-04-03,1:29,130700,17100,426,"vegetarian, meateater, labgrown, pork, cultivatedmeat",Entertainment/Advertising,"vegan/vegetarian, animal welfare ",Positive,"slaughter-free, taste",Paul Bevan (CEO of Magic Valley),FALSE,FALSE,89
4,2024-04-05,0:59,30000,1934,144,"labgrown, tastetesting, cultivated meat, fyp",Entertainment/Advertising,taste,Positive,taste,Upside Foods ,FALSE,FALSE,59
5,2023-09-14,1:00,887300,59200,4062,,Entertainment,"health, sustainability ",Negative,"""not real"" , gut damage, autoimmune disease ",health content creators ,TRUE,TRUE,60
6,2024-03-14,1:14,NA,2776,376,,News,"politics, economics",Neutral ,"safety, state laws, price","Cattle ranchers, USDA, FDA ",FALSE,FALSE,74
7,2024-07-11,1:15,28900,2083,203,"npr, meat, animals, science",News,"taste, animal welfare, economics",Positive,"slaughter-free, taste",Farmers,FALSE,FALSE,75
8,2023-09-25,1:09,158000,2188,277,"labgrownmeat, stemresearch, culturedmeat, itsreal, stemtok",Informative,"taste, safety, animal welfare",Positive,"taste, cruelty-free, same meat",,FALSE,FALSE,69
9,2023-06-22,1:12,16900,1454,134,,Entertainment ,"safety, animal welfare, vegan",Negative,"immortalized cell lines, cancer","USDA, Bill Gates, vegans",TRUE,NA,72
10,2024-05-07,0:40,12600,486,87,"florida, rondesantis, meats, cultivatedmeat",News/Entertainment,"politics, taste",Positive,"taste, ""real"" meat",Ron DeSeSantis,FALSE,NA,40
11,2024-07-27,2:56,61500,9908,422,"science, stem, scienceeducation, labgrownmeat, cultivated meat, microbiology",Informative,safety,Neutral ,,microbiologists,FALSE,FALSE,176
12,2022-09-07,6:18,17700,142,8,,Informative,"sustainability, taste, animal welfare, vegan",Neutral / Positive leaning,,"Primeval Foods, Supermeat",NA,NA,378
13,2023-03-21,0:18,3600,232,19,"cultivatedmeat, labgrownmeat, goodmeat",Informative,"politics, economics",Neutral,,"José Andrés, GOOD Meat",FALSE,FALSE,18
14,2023-11-21,0:51,2800,106,9,"labgrownmeat, labgrown, labgrownchicken, cellularagriculture, foodsystem, sustainability",Informative,"sustainability, animal welfare",Positive leaning,"ethical, sustainable, slaughter-free",,FALSE,FALSE,51
15,2024-07-01,0:48,690,10,1,,Interview,"sustainability, animal welfare",Positive,,Magic Valley Foods ,FALSE,FALSE,48
16,2024-09-28,1:05,250,3,0,"cultivatedmeat, foodtech, futureoffood, innovations, meatrevolution, foodsustainability",Interview,economics,Positive,"food technology, bioreactors",Academics,FALSE,FALSE,65
17,2024-03-07,0:53,6800,613,121,"notforme, culturedmeat, labgrownmeat, nothanks, realfood, safefood, healthyfood, nochemicals",Informative,"taste, sustainability",Negative,"unnatural, worse for environment",,FALSE,TRUE,53
18,2024-07-18,0:53,18900,368,37,"meat, labgrownmeat, petfood, foodnews, science, foodstandardsagency",News,"politics, animal welfare",Neutral,,Meatly,NA,NA,53
19,2024-05-15,0:44,14700,374,52,"news, meatalternative, plantbased, florida, alabama ",News,"politics, sustainability",Neutral / Positive leaning,"real meat, better for environment ",Cattle ranchers,FALSE,FALSE,44
20,2024-09-10,1:04,640,9,0,"culturedmeat, cellag, cultivatedmeat, labgrownmeat, sustainablediet ",Informative,politics,Neutral / Positive leaning,political barriers ,Jim Pillen (Nebraska governor) ,FALSE,TRUE,64
21,2023-06-28,0:33,780000,11700,1150,"meatalternative, labmeat, labchicken, labgrownmeat, foodnews",Informative,"politics, economics, sustainability, taste",Neutral,"guilt-free meat, price",U.S. adults ,FALSE,FALSE,33
22,2024-01-13,0:46,12600,858,39,"foodpolicy, gavinwren",News/Informative,politics,Neutral,real meat,"Italy, food policy consultants",FALSE,FALSE,46
23,2024-06-28,0:34,720,4,2,"vegan, plantbased, cultivatedmeat, fakemeat, plantbasedmeat ",Entertainment,politics,Neutral,,"Upside Foods, chefs",FALSE,FALSE,34
